"row_number","source_species_label","source_accession_label","mapped_species"
1,"acritoscincus_duperreyi","GCA_041722995.2","acritoscincus_duperreyi"
2,"ahaetulla_prasina","GCF_028640845.1","ahaetulla_prasina"
3,"anniella_stebbinsi","GCA_051312515.2","anniella_stebbinsi"
4,"anolis_carolinensis","GCF_035594765.1","anolis_carolinensis"
5,"anolis_sagrei","GCF_037176765.1","anolis_sagrei"
6,"asaccus_caudivolvulus","GCA_042257475.1","asaccus_caudivolvulus"
7,"aspidoscelis_inornatus","GCA_053572275.1","aspidoscelis_inornatus"
8,"aspidoscelis_marmoratus","GCA_014337955.2","aspidoscelis_marmoratus"
9,"aspidoscelis_tigris","GCA_053574215.1","aspidoscelis_tigris"
10,"bothrops_insularis","GCA_055824665.1","bothrops_insularis"
11,"candoia_aspera","GCF_035149785.1","candoia_aspera"
12,"carinascincus_ocellatus","GCA_965280105.1","carinascincus_ocellatus"
13,"cerastes_gasperettii","GCA_046524025.1","cerastes_gasperettii"
14,"coluber_constrictor","GCA_038048745.1","coluber_constrictor"
15,"crotalus_adamanteus","GCA_039797435.1","crotalus_adamanteus"
16,"cryptoblepharus_egeriae","GCA_030015325.2","cryptoblepharus_egeriae"
17,"cryptoblepharus_pulcher","GCA_055504975.1","cryptoblepharus_pulcher"
18,"cyclura_pinguis","GCA_030412105.1","cyclura_pinguis"
19,"cyrtopodion_scabrum","GCA_054791115.1","cyrtopodion_scabrum"
20,"elaphe_schrenckii","GCA_050231175.1","elaphe_schrenckii"
21,"elgaria_multicarinata","GCF_023053635.1","elgaria_multicarinata"
22,"eublepharis_macularius","GCF_028583425.1","eublepharis_macularius"
23,"euleptes_europaea","GCF_029931775.1","euleptes_europaea"
24,"furcifer_pardalis","GCA_030440675.1","furcifer_pardalis"
25,"gekko_kuhli","GCA_051903775.1","gekko_kuhli"
26,"hemicordylus_capensis","GCF_027244095.1","hemicordylus_capensis"
27,"hemorrhois_hippocrepis","GCA_964340495.1","hemorrhois_hippocrepis"
28,"hydrophis_major","GCA_033807585.1","hydrophis_major"
29,"iguana_iguana","GCA_051529865.1","iguana_iguana"
30,"laudakia_wui","GCA_040285375.1","laudakia_wui"
31,"liasis_olivaceus","GCA_030867105.1","liasis_olivaceus"
32,"macrovipera_schweizeri","GCA_965194845.1","macrovipera_schweizeri"
33,"malpolon_monspessulanus","GCA_964265115.1","malpolon_monspessulanus"
34,"mediodactylus_kotschyi","GCA_965636955.1","mediodactylus_kotschyi"
35,"natrix_helvetica","GCA_964273705.1","natrix_helvetica"
36,"natrix_maura","GCA_964659585.1","natrix_maura"
37,"paroedura_picta","GCF_049243985.1","paroedura_picta"
38,"podarcis_bocagei","GCA_964188305.1","podarcis_bocagei"
39,"podarcis_cretensis","GCA_951804945.1","podarcis_cretensis"
40,"podarcis_erhardii","GCA_964252035.1","podarcis_erhardii"
41,"podarcis_lilfordi","GCA_947686815.1","podarcis_lilfordi"
42,"podarcis_muralis","GCF_004329235.1","podarcis_muralis"
43,"pogona_vitticeps","GCF_051106095.1","pogona_vitticeps"
44,"pseudoxenodon_stejnegeri","GCA_050613815.1","pseudoxenodon_stejnegeri"
45,"rhabdophis_nuchalis","GCA_039707465.1","rhabdophis_nuchalis"
46,"rhineura_floridana","GCF_030035675.1","rhineura_floridana"
47,"sceloporus_tristichus","GCA_016801065.1","sceloporus_tristichus"
48,"sphenodon_punctatus","GCA_003113815.1","sphenodon_punctatus"
49,"spondylurus_nitidus","GCA_041380405.1","spondylurus_nitidus"
50,"teratoscincus_roborowskii","GCA_051473905.1","teratoscincus_roborowskii"
51,"tiliqua_scincoides","GCF_035046505.1","tiliqua_scincoides"
52,"uta_stansburiana","GCA_055773955.1","uta_stansburiana"
53,"varanus_acanthurus","GCA_050042745.1","varanus_acanthurus"
54,"vipera_ammodytes","GCA_047301725.1","vipera_ammodytes"
55,"vipera_berus","GCA_964194415.1","vipera_berus"
56,"vipera_ursinii","GCA_947247035.1","vipera_ursinii"
57,"xantusia_vigilis","GCA_051940855.1","xantusia_vigilis"
58,"zootoca_vivipara","GCF_963506605.1","zootoca_vivipara"
