"original_tree_tip","tree_accession","mapped_species","mapping_source"
"GCF_028583425.1","GCF_028583425.1","eublepharis_macularius","manifest_accession"
"GCF_029931775.1","GCF_029931775.1","euleptes_europaea","manifest_accession"
"GCA_051473905.1","GCA_051473905.1","teratoscincus_roborowskii","manifest_accession"
"GCF_021028975.2","GCF_021028975.2","sphaerodactylus_townsendi","manifest_accession"
"GCA_042257475.1","GCA_042257475.1","asaccus_caudivolvulus","manifest_accession"
"GCF_049243985.1","GCF_049243985.1","paroedura_picta","manifest_accession"
"GCA_965636955.1","GCA_965636955.1","mediodactylus_kotschyi","manifest_accession"
"GCA_054791115.1","GCA_054791115.1","cyrtopodion_scabrum","manifest_accession"
"GCA_051903775.2","GCA_051903775.2","gekko_kuhli","manifest_accession"
"GCF_032191835.1","GCF_032191835.1","heteronotia_binoei","manifest_accession"
"GCA_014337955.2","GCA_014337955.2","aspidoscelis_marmoratus","manifest_accession"
"GCA_053574215.1","GCA_053574215.1","aspidoscelis_tigris","manifest_accession"
"GCA_053572275.1","GCA_053572275.1","aspidoscelis_inornatus","manifest_accession"
"GCA_964188305.1","GCA_964188305.1","podarcis_bocagei","manifest_accession"
"GCA_965112155.1","GCA_965112155.1","podarcis_liolepis","manifest_accession"
"GCA_965113305.1","GCA_965113305.1","podarcis_vaucheri","manifest_accession"
"GCF_964188315.1","GCF_964188315.1","podarcis_muralis","manifest_accession"
"GCF_951804945.1","GCF_951804945.1","podarcis_cretensis","manifest_accession"
"GCA_964252035.1","GCA_964252035.1","podarcis_erhardii","manifest_accession"
"GCA_964106915.2","GCA_964106915.2","podarcis_gaigeae","manifest_accession"
"GCA_964234825.1","GCA_964234825.1","podarcis_melisellensis","manifest_accession"
"GCA_964270895.1","GCA_964270895.1","podarcis_filfolensis","manifest_accession"
"GCF_027172205.1","GCF_027172205.1","podarcis_raffonei","manifest_accession"
"GCA_965153305.2","GCA_965153305.2","podarcis_tiliguerta","manifest_accession"
"GCA_947686815.1","GCA_947686815.1","podarcis_lilfordi","manifest_accession"
"GCA_964106635.2","GCA_964106635.2","podarcis_pityusensis","manifest_accession"
"GCA_964188175.1","GCA_964188175.1","podarcis_siculus","manifest_accession"
"GCF_009819535.1","GCF_009819535.1","lacerta_agilis","manifest_accession"
"GCF_963506605.1","GCF_963506605.1","zootoca_vivipara","manifest_accession"
"GCF_030035675.1","GCF_030035675.1","rhineura_floridana","manifest_accession"
"GCA_040285375.1","GCA_040285375.1","laudakia_wui","manifest_accession"
"GCF_051106095.1","GCF_051106095.1","pogona_vitticeps","manifest_accession"
"GCA_030440675.1","GCA_030440675.1","furcifer_pardalis","manifest_accession"
"GCA_016801065.1","GCA_016801065.1","sceloporus_tristichus","manifest_accession"
"GCA_055773955.1","GCA_055773955.1","uta_stansburiana","manifest_accession"
"GCA_020142125.1","GCA_020142125.1","phrynosoma_platyrhinos","manifest_accession"
"GCA_030412105.1","GCA_030412105.1","cyclura_pinguis","manifest_accession"
"GCA_051529865.1","GCA_051529865.1","iguana_iguana","manifest_accession"
"GCF_035594765.1","GCF_035594765.1","anolis_carolinensis","manifest_accession"
"GCF_037176765.1","GCF_037176765.1","anolis_sagrei","manifest_accession"
"GCF_035149785.1","GCF_035149785.1","candoia_aspera","manifest_accession"
"GCA_030867105.1","GCA_030867105.1","liasis_olivaceus","manifest_accession"
"GCA_003400415.2","GCA_003400415.2","crotalus_viridis","manifest_accession"
"GCA_039797435.1","GCA_039797435.1","crotalus_adamanteus","manifest_accession"
"GCA_039880765.1","GCA_039880765.1","sistrurus_catenatus","manifest_accession"
"GCA_055824665.1","GCA_055824665.1","bothrops_insularis","manifest_accession"
"GCA_024294585.1","GCA_024294585.1","vipera_latastei","manifest_accession"
"GCF_964194415.1","GCF_964194415.1","vipera_berus","manifest_accession"
"GCA_947247035.1","GCA_947247035.1","vipera_ursinii","manifest_accession"
"GCA_047301725.1","GCA_047301725.1","vipera_ammodytes","manifest_accession"
"GCA_965194845.1","GCA_965194845.1","macrovipera_schweizeri","manifest_accession"
"GCA_046524025.1","GCA_046524025.1","cerastes_gasperettii","manifest_accession"
"GCA_033807585.1","GCA_033807585.1","hydrophis_major","manifest_accession"
"GCA_023653725.1","GCA_023653725.1","bungarus_multicinctus","manifest_accession"
"GCA_964265115.1","GCA_964265115.1","malpolon_monspessulanus","manifest_accession"
"GCA_964340495.1","GCA_964340495.1","hemorrhois_hippocrepis","manifest_accession"
"GCA_050231175.1","GCA_050231175.1","elaphe_schrenckii","manifest_accession"
"GCA_038048745.1","GCA_038048745.1","coluber_constrictor","manifest_accession"
"GCF_028640845.1","GCF_028640845.1","ahaetulla_prasina","manifest_accession"
"GCA_039707465.1","GCA_039707465.1","rhabdophis_nuchalis","manifest_accession"
"GCA_964273705.1","GCA_964273705.1","natrix_helvetica","manifest_accession"
"GCA_964659585.1","GCA_964659585.1","natrix_maura","manifest_accession"
"GCA_050613815.1","GCA_050613815.1","pseudoxenodon_stejnegeri","manifest_accession"
"GCF_031021105.1","GCF_031021105.1","erythrolamprus_reginae","manifest_accession"
"GCA_050042745.1","GCA_050042745.1","varanus_acanthurus","manifest_accession"
"GCA_051312515.2","GCA_051312515.2","anniella_stebbinsi","manifest_accession"
"GCF_023053635.1","GCF_023053635.1","elgaria_multicarinata","manifest_accession"
"GCA_052054735.1","GCA_052054735.1","dopasia_gracilis","manifest_accession"
"GCA_051940855.1","GCA_051940855.1","xantusia_vigilis","manifest_accession"
"GCF_027244095.1","GCF_027244095.1","hemicordylus_capensis","manifest_accession"
"GCA_030015325.2","GCA_030015325.2","cryptoblepharus_egeriae","manifest_accession"
"GCA_055504975.1","GCA_055504975.1","cryptoblepharus_pulcher","manifest_accession"
"GCA_041722995.2","GCA_041722995.2","acritoscincus_duperreyi","manifest_accession"
"GCA_965280105.1","GCA_965280105.1","carinascincus_ocellatus","manifest_accession"
"GCA_041380405.1","GCA_041380405.1","spondylurus_nitidus","manifest_accession"
"GCF_035046505.1","GCF_035046505.1","tiliqua_scincoides","manifest_accession"
"GCA_003113815.1","GCA_003113815.1","sphenodon_punctatus","manifest_accession"
